導演1_fans,導演2_fans,導演3_fans,演員1_fans,演員2_fans,演員3_fans,演員4_fans,編劇1_fans,編劇2_fans,編劇3_fans,編劇4_fans
,,,22000,,29000,2186,,,,
,,,4083,688000,,,,,,
13474,,,50646,15305,238548,135069,,22586,2408,
172,,,2911353,5784,,,2911353,,,
1273,539,,84154,15599,50994,,175,1787750,,
0,4,,710000,75000,6585,4506000,0,,,
1514,,,83991,17270,147543,392,1395,,,
2092,,,11179,477025,,,2092,1090239,,
2699,296,,,,,,23207,9593,11960,
2376,,,1687133,376136,,,2376,,,
2405,,,47637,6073,32932,183573,2405,2265,38,
54049,,,21495,101410,18221,2020,54049,141,,
,,,43000,14000,,,34000,,,
48351,,,55647,26577,5883,175175,48351,19,81391,
,,,103000,626000,,,,,,
2,,,1248,419702,,,,,,
513000,,,1094000,68000,191,43000,,,,
,,,59744,5482,25049,,2396,,,
16686,,,224254,41590,9450,234029,16686,391,,
1874,,,48030,6073,113402,,43314,,,
,,,99992,190960,,,462,,,
,,,2027,504396,215812,32217,,,,
245,,,958016,12033,79300,1184,128129,,,
745000,,,,,,,745000,,,
9337,,,9337,1914,,,9337,2687,,
,,,80569,70115,,,20846,,,
15203,,,44190459,209000,82745,,15203,15566,,
4057,,,1661560,7968,,,4057,,,
,,,123,0,,,,,,
,,,8706,7760,17000,45,37000,,,
,,,,112187,,,,3,,
1644,,,33053,799353,,90127,20,,,
,,,,,,,,,,
,,,26000,64000,,,7,,,
,,,5652,88179,627,,,,,
724,,,820207,852708,2578,,724,,,
,,,26515,589466,25000,,,,,
20,,,7499,42086,,,20,,,
,,,431407,122682,35595,162669,9646,,,
,,,857000,53000,151000,,,,,
3125,,,1074000,7415,,,,,,
,,,50496,2093,5140,773,123,,,
,,,,,,,,,,
,,,12000,,62000,97000,35000,11000,,
2366,,,532321,165859,62654,167086,,616,283,
15000,,,,,,,,15000,,
67000,,,,,,,,,,
132,,,,,,,,,,
,,,66531,1049982,25049,,,,,
,,,10000,,,,,,,
48685,,,1,2875,,,48685,,,
24594,,,45787,11503,376136,469291,569,,,
3321,,,31000,,111000,,,,,
,,,1030,5,77552,,66,232,,
47000,,,58000,926000,177000,87000,,,,
172,,,,36,,,172,,,
5525,,,1073,82431,51622,,3678,1,,
,,,2276775,,,,361,909,,
26339,,,12365,,2434,10116,8642,8642,,
,,,725634,,,,,8001,,
9402,,,14023384,372469,2755048,32506,71151,872,,
102056,,,136666,200367,,,102056,,,
8019,4666,,252746,2020,11487,6696,8019,4666,,
14259,,,,,,,14259,,,
,,,,,,438000,555,,,
7723,,,4083,,,,7723,,,
154027,,,19230446,224254,1215949,209439,154027,,,
,,,318484,3028,4837722,455069,890,,,
66294,,,66294,,,,66294,,,
25582,,,29027,506859,976789,54533,25582,29027,,
1402,,,1380,,,,1402,,,
2050935,,,8220761,2421114,633174,,67,,,
68001,,,14463,381803,,,68001,,,
25223,,,668642,1240,,,5421,5421,,
25000,,,,,,,25000,,,
,,,,305000,,,3955,,,
,,,261000,589466,1003,50455,,,,
,,,17322,976789,45236,,,,,
,,,695,,,,,,,
33180,,,4837722,104130,498903,16892716,11927,907,,
,,,,,,,,,,
,,,,,,,,,,
,,,114000,1028000,43000,,,,,
22118,,,20527,10101,18928206,,2864,,,
20,,,234360,493101,43047,30158,20,,,
,,,175,21855,14017,7799158,,,,
57,,,1939928,4283,,,575,,,
,,,19769,,,,,,,
11072,,,15972377,416948,32925,3364,4370,,,
,,,22000,,,,,,,
1527033,,,4460,21303,491700,45367,1527033,,,
42,,,35298,95499,1972,,69,,,
,,,957,788000,151000,1070000,,,,
6,,,591,1195,60,606,,,,
,,,302000,920000,,,,,,
33120,,,452263,153790,213393,,27623,,,
7,,,117,4836637,3230,,,,,
,,,2275,589466,2027,265,,,,
23,,,6605252,6107,3879,1430,5226,3,,
9484,,,,383869,,,,,,
20803,,,33053,471025,42398,455069,20803,,,
60300,,,,294000,,,4760,,,
224,,,35809965,1720196,58601,469291,31022,,,
,,,,,520555,66531,,,,
1459,,,7326,,,,192,,,
,,,299336,,,,,,,
2974,,,411255,309009,307949,491700,,,,
38865,,,234360,87818,210538,14229,38865,449,,
,,,113000,,6968,,21000,,,
,,,26148,338893,11147,,,,,
66294,,,66294,,,,66294,,,
,,,,774000,,,,,,
209,,,9272,2275,2085562,,,,,
25903,,,709090,8220761,,,4346,15832,,
39435,,,417509,11239,150257,,39435,73154,,
,,,10046,13019,26188,116224,,,,
16817,,,5520,131820,,,,,,
1040,,,12357120,,,,608,740120,,
436,,,1433,376136,,,1699,3252,17983,1
,,,26019,284599,50496,18152,,,,
37,,,252746,248371,2020,20967,8,,,
1550,,,,13,,,,,,
,,,589466,21855,824886,6430,,,,
364355,,,30401,2843183,1505,1114,,,,
873,,,,,,,7828,873,,
,,,136664,,,,,,,
2185,,,158562,,94369,2185,,,,
49842,1339,160,47637,21303,7008,70209,1339,,,
12971,,,14029834,3474205,1184766,7638,12971,,,
,,,,,896,74494,,,,
17800,,,508000,333000,,,17800,,,
217173,,,550,,,,217173,,,
66859,14313,,13331388,14590618,157477,4837722,804,35,,
445,,,30182,30365,5895,723,445,474,109,
3125,,,1297,8706,223,,3125,,,
3523,,,2671,,118906,237,3523,,,
47138,,,7223,163425,,,47138,,,
,,,227000,61300,132000,142000,,,,
276169,,,66643,9314,88458,,41,169,,
,3778,,8246,179539,,,96,333,,
,,,,,,320000,,232153,12,54
388,43,,115,3820,,,,,,
,,,,,,,,,,
494,,,234360,47802,6462,,1141,494,,
8574,,,1362170,12374,1134122,,940,,,
748,,,295000,294000,351000,336000,,,,
55684,,,39132,65033,25657,899724,11014,,,
634481,,,14023384,1259882,6386,35634,634481,,,
46319,,,8150,79430,,,1225,,,
7848,,,7848,3115,7848,7848,3115,,,
41950,,,,,,,,,,
,,,566,,,,,,,
123198,,,53413,53959,498903,554,101,,,
255406,,,9882355,23177,17121,,41,169,,
33,,,244476,2527,,,683,,,
853,,,2335,42832,48535,1950,,,,
,,,131463,,,,,,,
11336,,,3902,105420,10341,,11336,9290,2389,
1608442,,,1687133,131019,20661,,1608442,,,
,,,24500,,,12000,,13500,,
,,,482,6072,2636,,,,,
1058,,,624000,114000,1940,153,1058,,,
,,,34,,,,,,,
8,,,420,,1936,213,8,,,
,,,,43000,,,,,,
59731,,,47637,,8246,255178,241,352,,
8163,,,35809965,2206947,45080,,727,,,
15891,,,655098,4108,,,333,,,
,,,,67700,,,,,,
51000,,,15000,379,1041,,2569,51000,,
304,,,331242,15000,30239,,304,,,
10100,,,37100,,,,10100,,,
61564,7789,,41339,11403267,,,,,,
7,1861,,1902716,266989,3149,26251,7,1861,3001,7828
,,,2602,115000,86900,,,,,
,,,6107,131950,878950,,398,,,
689,,,26105,244476,4060,14463,,,,
9371,,,31201,9371,,,,335,,
,,,,,,,,,,
928,,,446940,163671,17988,,928,,,
,,,,460000,16100,,,,,
5202,,,39500,144000,,,,,,
2244,,,,,,,2244,1120,,
,,,,56400,,,,,,
65040,,,967537,2516,18893,720782,65040,,,
,,,51054,12707,172864,,29529,20285,,
13050,,,17564,284,,,13050,,,
66282,,,7536107,2276775,4669744,4562948,1217,71103,545616,
761433,,,8,,,,761433,4,150,
,,,61648504,100113,177603,220,,,,
,,,26515,1060329,50455,1629,,,,
740120,,,5841,13852,3905,103118,704955,0,,
4333,,,13813332,33775,32932,163425,4333,,,
1319,,,26000,717133,62395,550857,1319,,,
1319,,,26000,717133,62395,550857,1319,,,
,,,,64000,,,,,,
,,,,,2936,3911,,,,
,,,261962,1586173,4266,145101,,,,
16543,,,21495,18221,4669744,302836,16543,22385,,
45423,,,30401,2491818,79430,8246,45423,,,
34239,,,20232,103118,,,34239,298,,
13915,,,12321,135069,420992,455069,5908,364,,
1093981,,,6107,1851,32932,1868,16,,,
8044,,,191322,9705,10063,1281413,8044,,,
1271,,,395851,54533,20939,18867,,1271,,
,,,,,,,,,,
,,,4083,13900,,,,,,
,,,,,,,,,2215,
5387,,,678806,3330522,158,,5387,,,
130,,,,,,,130,,,
184133,,,33053,57802,61158,8267071,184133,,,
3853,,,3898339,95499,411255,1073,3853,18777,,
2150,,,,,,,2150,,,
,,,44600,705118,46321,172372,,,,
421,,,213393,353857,61449,12133,1699,3252,,
126934,,,126934,75043,18406,82431,15611,193,,
,,,,97200,37300,,1182,,,
91590,,,99602,73391,,,96,,,
,,,6680000,1686,,,,,,
,,,826,,,,,,,
,,,252746,16278,,,730,,,
6024,,,5883,37778,5424,,4539,,,
3416,,,91100,,,,58100,1056,,
2409936,,,3,,,,2409936,362,,
51358,,,6492,604103,9165,1278,32,,,
